BUYER_STATE,BUYER_COUNTY,CountyFIPS_x,StateFIPS_x,Year,MME,FIP_unique,County,State,Population,county_test,state_abbrev,CountyFIPS_y,StateFIPS_y,CountyName,_merge
CO,douglas,8035,8,2010.0,65110.166138175,80358,Douglas County,CO,286977.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2011.0,68699.997218175,80358,Douglas County,CO,292548.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2012.0,74538.935334975,80358,Douglas County,CO,298708.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2013.0,63589.27086135,80358,Douglas County,CO,306234.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,douglas,8035,8,2014.0,58131.9135199875,80358,Douglas County,CO,314545.0,Douglas,CO,8035.0,8.0,Douglas,both
CO,eagle,8037,8,2006.0,7857.5132287625,80378,Eagle County,CO,48476.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2007.0,9524.4359943,80378,Eagle County,CO,49803.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2008.0,10304.2288868,80378,Eagle County,CO,51049.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2009.0,11433.8166759,80378,Eagle County,CO,52513.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2010.0,12821.4033947625,80378,Eagle County,CO,52099.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2011.0,12597.014534475,80378,Eagle County,CO,52051.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2012.0,13513.2327966,80378,Eagle County,CO,52334.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2013.0,12251.4769253625,80378,Eagle County,CO,52816.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,eagle,8037,8,2014.0,12602.1907322625,80378,Eagle County,CO,53276.0,Eagle,CO,8037.0,8.0,Eagle,both
CO,el paso,8041,8,2006.0,118715.22753243751,80418,El Paso County,CO,580251.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2007.0,139455.8157657625,80418,El Paso County,CO,586783.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2008.0,158121.77319615,80418,El Paso County,CO,597919.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2009.0,168834.58631782501,80418,El Paso County,CO,608061.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2010.0,186433.9331503125,80418,El Paso County,CO,627031.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2011.0,210689.6893448625,80418,El Paso County,CO,637305.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2012.0,234048.0305800125,80418,El Paso County,CO,646003.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2013.0,225568.314713175,80418,El Paso County,CO,655209.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,el paso,8041,8,2014.0,228911.5203822,80418,El Paso County,CO,663129.0,El Paso,CO,8041.0,8.0,El Paso,both
CO,elbert,8039,8,2006.0,1582.9771485,80398,Elbert County,CO,22423.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2007.0,2193.5726222625,80398,Elbert County,CO,22402.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2008.0,2350.0979299875,80398,Elbert County,CO,22634.0,Elbert,CO,8039.0,8.0,Elbert,both
